area_name,year,analysis
Bhundiya,2016,"In 2016, only about 6% of Bhundiya had buildings or roads on it — most of the area was still open land. | Green cover was getting thin in Bhundiya by 2016 — most natural land had been replaced by construction. | In 2016, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2017,"In 2017, only about 7% of Bhundiya had buildings or roads on it — most of the area was still open land. | Barely any change from 2016 to 2017 — the area stayed almost exactly the same. | Bhundiya still had plenty of trees and green cover in 2017 — a lot of land was natural and untouched. | In 2017, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2018,"In 2018, only about 6% of Bhundiya had buildings or roads on it — most of the area was still open land. | The built-up area slightly shrank compared to 2017 (by about 0.6%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Bhundiya still had plenty of trees and green cover in 2018 — a lot of land was natural and untouched. | In 2018, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2019,"In 2019, only about 7% of Bhundiya had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2018 to 2019 — just 0.6% more land got covered. | Bhundiya still had plenty of trees and green cover in 2019 — a lot of land was natural and untouched. | In 2019, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2020,"In 2020, only about 6% of Bhundiya had buildings or roads on it — most of the area was still open land. | Barely any change from 2019 to 2020 — the area stayed almost exactly the same. | Bhundiya still had plenty of trees and green cover in 2020 — a lot of land was natural and untouched. | In 2020, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2021,"In 2021, only about 7% of Bhundiya had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2020 to 2021 — just 0.8% more land got covered. | Bhundiya still had plenty of trees and green cover in 2021 — a lot of land was natural and untouched. | In 2021, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2022,"In 2022, only about 8% of Bhundiya had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2021 to 2022 — just 0.5% more land got covered. | Bhundiya still had plenty of trees and green cover in 2022 — a lot of land was natural and untouched. | In 2022, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2023,"In 2023, only about 8% of Bhundiya had buildings or roads on it — most of the area was still open land. | Barely any change from 2022 to 2023 — the area stayed almost exactly the same. | Bhundiya still had plenty of trees and green cover in 2023 — a lot of land was natural and untouched. | In 2023, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya,2024,"In 2024, only about 8% of Bhundiya had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2023 to 2024 — just 0.4% more land got covered. | Bhundiya still had plenty of trees and green cover in 2024 — a lot of land was natural and untouched. | In 2024, Bhundiya was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2016,"In 2016, only about 5% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | Green cover was getting thin in Bhundiya Fringe by 2016 — most natural land had been replaced by construction. | In 2016, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2017,"In 2017, only about 7% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | A steady amount of new construction happened between 2016 and 2017 — roughly 1.3% more land was built on. | Bhundiya Fringe still had plenty of trees and green cover in 2017 — a lot of land was natural and untouched. | In 2017, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2018,"In 2018, only about 6% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | The built-up area slightly shrank compared to 2017 (by about 0.7%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Bhundiya Fringe still had plenty of trees and green cover in 2018 — a lot of land was natural and untouched. | In 2018, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2019,"In 2019, only about 7% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2018 to 2019 — just 0.7% more land got covered. | Bhundiya Fringe still had plenty of trees and green cover in 2019 — a lot of land was natural and untouched. | In 2019, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2020,"In 2020, only about 6% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | The built-up area slightly shrank compared to 2019 (by about 0.5%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Bhundiya Fringe still had plenty of trees and green cover in 2020 — a lot of land was natural and untouched. | In 2020, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2021,"In 2021, only about 7% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2020 to 2021 — just 0.7% more land got covered. | Bhundiya Fringe still had plenty of trees and green cover in 2021 — a lot of land was natural and untouched. | In 2021, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2022,"In 2022, only about 8% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2021 to 2022 — just 0.9% more land got covered. | Bhundiya Fringe still had plenty of trees and green cover in 2022 — a lot of land was natural and untouched. | In 2022, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2023,"In 2023, only about 8% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | A small amount of new construction happened from 2022 to 2023 — just 0.5% more land got covered. | Bhundiya Fringe still had plenty of trees and green cover in 2023 — a lot of land was natural and untouched. | In 2023, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Bhundiya Fringe,2024,"In 2024, only about 8% of Bhundiya Fringe had buildings or roads on it — most of the area was still open land. | The built-up area slightly shrank compared to 2023 (by about 0.4%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Bhundiya Fringe still had plenty of trees and green cover in 2024 — a lot of land was natural and untouched. | In 2024, Bhundiya Fringe was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Borij,2016,"By 2016, more than half of Borij was built up (43%) — it had turned into a fairly developed neighbourhood. | Green cover was getting thin in Borij by 2016 — most natural land had been replaced by construction. | Night-time activity in Borij was limited in 2016 — some streets and homes lit up, but it was not a very busy area."
Borij,2017,"By 2017, more than half of Borij was built up (45%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2016 and 2017 — roughly 2.2% more land was built on. | There was a decent amount of greenery in Borij in 2017 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2017 — some streets and homes lit up, but it was not a very busy area."
Borij,2018,"By 2018, more than half of Borij was built up (48%) — it had turned into a fairly developed neighbourhood. | Compared to 2017, construction jumped noticeably — about 3.4% more land got built on. That is a big change for a single year. | There was a decent amount of greenery in Borij in 2018 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2018 — some streets and homes lit up, but it was not a very busy area."
Borij,2019,"By 2019, more than half of Borij was built up (45%) — it had turned into a fairly developed neighbourhood. | The built-up reading fell by 3.3% from 2018 — likely a satellite data anomaly rather than actual demolition. | There was a decent amount of greenery in Borij in 2019 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2019 — some streets and homes lit up, but it was not a very busy area."
Borij,2020,"By 2020, more than half of Borij was built up (45%) — it had turned into a fairly developed neighbourhood. | A small amount of new construction happened from 2019 to 2020 — just 0.4% more land got covered. | There was a decent amount of greenery in Borij in 2020 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2020 — some streets and homes lit up, but it was not a very busy area."
Borij,2021,"By 2021, more than half of Borij was built up (46%) — it had turned into a fairly developed neighbourhood. | A small amount of new construction happened from 2020 to 2021 — just 0.9% more land got covered. | There was a decent amount of greenery in Borij in 2021 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2021 — some streets and homes lit up, but it was not a very busy area."
Borij,2022,"By 2022, more than half of Borij was built up (48%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2021 and 2022 — roughly 1.5% more land was built on. | There was a decent amount of greenery in Borij in 2022 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2022 — some streets and homes lit up, but it was not a very busy area."
Borij,2023,"By 2023, more than half of Borij was built up (47%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2022 (by about 0.6%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in Borij in 2023 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
Borij,2024,"By 2024, more than half of Borij was built up (46%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2023 (by about 0.9%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in Borij in 2024 — still some trees and open patches, not fully built over. | Night-time activity in Borij was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
Chiloda,2016,"In 2016, around 18% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | Green cover was getting thin in Chiloda by 2016 — most natural land had been replaced by construction. | In 2016, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2017,"In 2017, around 20% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2016 and 2017 — roughly 2.4% more land was built on. | There was a decent amount of greenery in Chiloda in 2017 — still some trees and open patches, not fully built over. | In 2017, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2018,"In 2018, around 21% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2017 to 2018 — just 0.5% more land got covered. | There was a decent amount of greenery in Chiloda in 2018 — still some trees and open patches, not fully built over. | In 2018, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2019,"In 2019, around 22% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2018 to 2019 — just 0.8% more land got covered. | There was a decent amount of greenery in Chiloda in 2019 — still some trees and open patches, not fully built over. | In 2019, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2020,"In 2020, around 21% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | The built-up area slightly shrank compared to 2019 (by about 0.4%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in Chiloda in 2020 — still some trees and open patches, not fully built over. | In 2020, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2021,"In 2021, around 22% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2020 to 2021 — just 1.0% more land got covered. | There was a decent amount of greenery in Chiloda in 2021 — still some trees and open patches, not fully built over. | In 2021, Chiloda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Chiloda,2022,"In 2022, around 23% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2021 to 2022 — just 1.0% more land got covered. | There was a decent amount of greenery in Chiloda in 2022 — still some trees and open patches, not fully built over. | Night-time activity in Chiloda was limited in 2022 — some streets and homes lit up, but it was not a very busy area."
Chiloda,2023,"In 2023, around 25% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2022 and 2023 — roughly 1.4% more land was built on. | There was a decent amount of greenery in Chiloda in 2023 — still some trees and open patches, not fully built over. | Night-time activity in Chiloda was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
Chiloda,2024,"In 2024, around 25% of Chiloda was covered with buildings and roads — still a lot of open space remaining. | Barely any change from 2023 to 2024 — the area stayed almost exactly the same. | There was a decent amount of greenery in Chiloda in 2024 — still some trees and open patches, not fully built over. | Night-time activity in Chiloda was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
Dashela,2016,"In 2016, around 18% of Dashela was covered with buildings and roads — still a lot of open space remaining. | Green cover was getting thin in Dashela by 2016 — most natural land had been replaced by construction. | In 2016, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2017,"In 2017, around 20% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2016 and 2017 — roughly 2.1% more land was built on. | There was a decent amount of greenery in Dashela in 2017 — still some trees and open patches, not fully built over. | In 2017, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2018,"In 2018, around 22% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2017 and 2018 — roughly 1.5% more land was built on. | There was a decent amount of greenery in Dashela in 2018 — still some trees and open patches, not fully built over. | In 2018, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2019,"In 2019, around 20% of Dashela was covered with buildings and roads — still a lot of open space remaining. | The built-up reading fell by 1.5% from 2018 — likely a satellite data anomaly rather than actual demolition. | There was a decent amount of greenery in Dashela in 2019 — still some trees and open patches, not fully built over. | In 2019, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2020,"In 2020, around 22% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2019 and 2020 — roughly 1.5% more land was built on. | There was a decent amount of greenery in Dashela in 2020 — still some trees and open patches, not fully built over. | In 2020, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2021,"In 2021, around 22% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2020 to 2021 — just 0.4% more land got covered. | There was a decent amount of greenery in Dashela in 2021 — still some trees and open patches, not fully built over. | In 2021, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2022,"In 2022, around 23% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2021 to 2022 — just 0.6% more land got covered. | There was a decent amount of greenery in Dashela in 2022 — still some trees and open patches, not fully built over. | In 2022, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2023,"In 2023, around 23% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2022 to 2023 — just 0.4% more land got covered. | There was a decent amount of greenery in Dashela in 2023 — still some trees and open patches, not fully built over. | In 2023, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dashela,2024,"In 2024, around 24% of Dashela was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2023 to 2024 — just 1.0% more land got covered. | There was a decent amount of greenery in Dashela in 2024 — still some trees and open patches, not fully built over. | In 2024, Dashela was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dholakuva,2016,"In 2016, around 22% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | Green cover was getting thin in Dholakuva by 2016 — most natural land had been replaced by construction. | In 2016, Dholakuva was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dholakuva,2017,"In 2017, around 22% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2016 to 2017 — just 0.4% more land got covered. | Dholakuva still had plenty of trees and green cover in 2017 — a lot of land was natural and untouched. | In 2017, Dholakuva was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
