area_name,year,analysis
Bhundiya  ,2016,Built-up area: 6.3% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.27) | Night-time light intensity is low (0.6)
Bhundiya  ,2017,Built-up area: 6.6% (low growth class) | Built-up increased by 0.3 percentage points from previous year. | Vegetation cover is high (NDVI 0.51) | Night-time light intensity is low (0.9)
Bhundiya  ,2018,Built-up area: 5.9% (low growth class) | Built-up decreased by 0.6 percentage points from previous year. | Vegetation cover is high (NDVI 0.56) | Night-time light intensity is low (1.0)
Bhundiya  ,2019,Built-up area: 6.5% (low growth class) | Built-up increased by 0.6 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.50) | Night-time light intensity is low (1.2)
Bhundiya  ,2020,Built-up area: 6.3% (low growth class) | Built-up decreased by 0.3 percentage points from previous year. | Vegetation cover is high (NDVI 0.51) | Night-time light intensity is low (1.2)
Bhundiya  ,2021,Built-up area: 7.0% (low growth class) | Built-up increased by 0.8 percentage points from previous year. | Vegetation cover is high (NDVI 0.51) | Night-time light intensity is low (1.3)
Bhundiya  ,2022,Built-up area: 7.6% (low growth class) | Built-up increased by 0.5 percentage points from previous year. | Vegetation cover is high (NDVI 0.52) | Night-time light intensity is low (1.4)
Bhundiya  ,2023,Built-up area: 7.8% (low growth class) | Built-up increased by 0.3 percentage points from previous year. | Vegetation cover is high (NDVI 0.54) | Night-time light intensity is low (1.6)
Bhundiya  ,2024,Built-up area: 8.2% (low growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.50) | Night-time light intensity is low (1.7)
Bhundiya Fringe,2016,Built-up area: 5.4% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.26) | Night-time light intensity is low (0.8)
Bhundiya Fringe,2017,Built-up area: 6.8% (low growth class) | Built-up increased by 1.3 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.46) | Night-time light intensity is low (1.1)
