area_name,year,analysis
Bhundiya  ,2025,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Bhundiya  ,2026,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Bhundiya  ,2027,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Bhundiya  ,2028,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Bhundiya  ,2029,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Bhundiya  ,2030,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Bhundiya  ,2031,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Bhundiya  ,2032,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Bhundiya  ,2033,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Bhundiya  ,2034,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Bhundiya  ,2035,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Bhundiya  ,2036,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Bhundiya  ,2037,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Bhundiya  ,2038,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Bhundiya  ,2039,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Bhundiya  ,2040,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2025,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2026,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2027,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
