grid_id,area_name,year,center_lat,center_lon,ndvi_mean,built_percent,nighttime_mean,growth_class
grid_0_0,Sargasan,2016,23.185,72.6135,0.206102,0.278295,5.470377,medium
grid_0_0,Sargasan,2017,23.185,72.6135,0.379409,0.332805,7.730955,high
grid_0_0,Sargasan,2018,23.185,72.6135,0.368327,0.359909,8.417601,high
grid_0_0,Sargasan,2019,23.185,72.6135,0.319826,0.381586,12.001056,high
grid_0_0,Sargasan,2020,23.185,72.6135,0.307136,0.413027,14.021948,high
grid_0_0,Sargasan,2021,23.185,72.6135,0.299613,0.461814,15.256912,high
grid_0_0,Sargasan,2022,23.185,72.6135,0.268092,0.503563,21.054893,high
grid_0_0,Sargasan,2023,23.185,72.6135,0.264564,0.54428,23.387093,high
grid_0_0,Sargasan,2024,23.185,72.6135,0.249753,0.556022,28.009162,high
grid_0_1,Kudasan,2016,23.185,72.6265,0.192527,0.389102,12.212081,high
grid_0_1,Kudasan,2017,23.185,72.6265,0.383896,0.433843,15.239913,high
grid_0_1,Kudasan,2018,23.185,72.6265,0.368007,0.464082,15.181549,high
grid_0_1,Kudasan,2019,23.185,72.6265,0.291595,0.465307,19.31152,high
grid_0_1,Kudasan,2020,23.185,72.6265,0.336477,0.483636,23.915517,high
grid_0_1,Kudasan,2021,23.185,72.6265,0.321098,0.502362,25.008026,high
grid_0_1,Kudasan,2022,23.185,72.6265,0.32118,0.509543,28.534929,high
grid_0_1,Kudasan,2023,23.185,72.6265,0.329022,0.527207,30.580981,high
grid_0_1,Kudasan,2024,23.185,72.6265,0.33535,0.51983,37.356037,high
grid_0_2,Randesan,2016,23.185,72.6395,0.175919,0.400583,8.631964,high
grid_0_2,Randesan,2017,23.185,72.6395,0.345129,0.430486,12.105985,high
grid_0_2,Randesan,2018,23.185,72.6395,0.33318,0.463224,11.827708,high
grid_0_2,Randesan,2019,23.185,72.6395,0.274224,0.469529,13.480863,high
grid_0_2,Randesan,2020,23.185,72.6395,0.313529,0.499068,18.908741,high
grid_0_2,Randesan,2021,23.185,72.6395,0.297695,0.530283,23.396034,high
grid_0_2,Randesan,2022,23.185,72.6395,0.275642,0.556183,25.280199,high
grid_0_2,Randesan,2023,23.185,72.6395,0.265982,0.572568,29.32122,high
grid_0_2,Randesan,2024,23.185,72.6395,0.275472,0.554401,37.660558,high
grid_0_3,Randesan,2016,23.185,72.6525,0.177687,0.19595,3.641914,medium
grid_0_3,Randesan,2017,23.185,72.6525,0.36989,0.212185,5.026177,medium
grid_0_3,Randesan,2018,23.185,72.6525,0.367749,0.24547,5.533033,medium
grid_0_3,Randesan,2019,23.185,72.6525,0.301986,0.226642,6.606704,medium
grid_0_3,Randesan,2020,23.185,72.6525,0.365921,0.241729,9.814854,medium
grid_0_3,Randesan,2021,23.185,72.6525,0.352411,0.26038,11.677499,medium
grid_0_3,Randesan,2022,23.185,72.6525,0.333277,0.279066,14.640905,high
grid_0_3,Randesan,2023,23.185,72.6525,0.344034,0.298154,18.45776,high
grid_0_3,Randesan,2024,23.185,72.6525,0.355021,0.304179,20.87039,high
grid_0_4,Gujarat International Finance Tec-City,2016,23.185,72.6655,0.202172,0.22271,2.651458,low
